READ SERR 1 2
@./plot/relionCp-nk_pl-delchi.pco
!
3.01999998 1.99999809E-2 -0.173888624 1
3.05999994 1.99999809E-2 -1.07548046 1
3.0999999 1.99999809E-2 -2.80088377 1
3.13999987 2.00001001E-2 0.694938958 1
3.18000007 1.99999809E-2 -1.71280491 1
3.22000003 1.99999809E-2 -0.576925874 1
3.25999999 1.99999809E-2 -0.158656105 1
3.29999995 1.99999809E-2 0.958677769 1
3.33999991 1.99999809E-2 -1.05142808 1
3.38000011 2.00001001E-2 -0.270969063 1
3.42000008 1.99999809E-2 1.2451123 1
3.46000004 1.99999809E-2 -1.61307645 1
3.5 1.99999809E-2 -1.99025154 1
3.53999996 1.99999809E-2 -0.993389428 1
3.57999992 1.99999809E-2 -2.24564838 1
3.61999989 2.00001001E-2 -0.752095878 1
3.66000009 1.99999809E-2 -5.4367397E-2 1
3.70000005 1.99999809E-2 -0.560114324 1
3.74000001 1.99999809E-2 0.373051077 1
3.77999997 1.99999809E-2 -1.60502243 1
3.81999993 1.99999809E-2 -0.820821583 1
3.86000013 2.00001001E-2 0.293972999 1
3.9000001 1.99999809E-2 -0.489270389 1
3.94000006 1.99999809E-2 0.528587759 1
3.98000002 1.99999809E-2 1.62573838 1
4.01999998 1.99999809E-2 0.65135473 1
4.05999994 1.99999809E-2 2.35663605 1
4.0999999 1.99999809E-2 -1.05560863 1
4.13999987 1.99999809E-2 1.36860979 1
4.17999983 1.99999809E-2 0.931225181 1
4.21999979 1.99999809E-2 0.912069798 1
4.26000023 2.00002193E-2 0.986933529 1
4.30000019 1.99999809E-2 -0.153494403 1
4.34000015 1.99999809E-2 1.22536504 1
4.38000011 1.99999809E-2 -0.871310234 1
4.42000008 1.99999809E-2 -8.9010179E-2 1
4.46000004 1.99999809E-2 0.592667103 1
4.5 1.99999809E-2 -2.30312347 1
4.53999996 1.99999809E-2 -1.04638565 1
4.57999992 1.99999809E-2 -1.42519009 1
4.61999989 1.99999809E-2 -0.479661435 1
4.65999985 1.99999809E-2 0.65108043 1
4.69999981 1.99999809E-2 -0.871306598 1
4.73999977 2.00002193E-2 0.387920231 1
4.78000021 1.99999809E-2 -0.536634088 1
4.82000017 1.99999809E-2 -1.30234194 1
4.86000013 1.99999809E-2 -0.610659361 1
4.9000001 1.99999809E-2 0.294272363 1
4.94000006 1.99999809E-2 0.706189573 1
4.98000002 1.99999809E-2 0.459884435 1
5.01999998 1.99999809E-2 -1.42304862 1
5.05999994 1.99999809E-2 -0.964841247 1
5.0999999 1.99999809E-2 -1.34355438 1
